investor_id,investor_name_canonical,investor_type,hq_country,founded_year,aum_usd_m,is_active,source_system,last_updated_ts_raw
INV0006869,Aurora Sirius Asset Management,CORP_VENTURE,SG,1965,260,Y,MANUAL,2023-12-27 14:05:28
INV0024017,Oakwood Phoenix Group,VC,SG,2021,3344,Y,REF_FEED_A,2024-04-12 19:28:13
INV0009669,Lighthouse Quantum Partners,ANGEL,CN,1968,4493,Y,REF_FEED_B,2024-03-07 20:20:07
INV0013641,Sapphire Investment Partners,VC,SG,1974,523,Y,MANUAL,06/06/2022 11:09:38
INV0014019,Mountainview Crown Management,HEDGE_FUND,DK,1958,268,Y,REF_FEED_B,07-Nov-2024 07:39:22
INV0007489,Genesis Harbor Equity,CORP_VENTURE,IE,2008,11720,Y,REF_FEED_A,1699176606000
INV0005805,Eclipse Frontier Investments,VC,SE,1993,443,Y,REF_FEED_A,2024-01-01 14:15:55
INV0012910,Ironwood Zenith Group,VC,JP,2009,10363,Y,REF_FEED_B,2022-04-08 08:52:28
INV0003387,Regal Jupiter Private Equity,CORP_VENTURE,CH,1991,6752,Y,REF_FEED_B,04-Sep-2022 16:10:25
INV0009568,Orion Riverside Management,VC,CH,1986,1377,Y,REF_FEED_A,2023-09-12 02:23:35
INV0021424,Greenfield Highland Investment Partners,PE,US,1950,5490,Y,REF_FEED_A,2022-04-09 06:37:47
INV0003504,Eclipse Southpoint Management,PE,FR,1955,637,N,REF_FEED_A,2023-01-15 09:33:07
INV0006658,Mountainview Catalyst Ventures,,AE,1993,2506,Y,MANUAL,02/05/2024 14:56:00
INV0019193,Genesis Northstar Equity,ANGEL,AU,1966,319,Y,MANUAL,07/09/2022 14:52:11
INV0002519,Olympic Majestic Equity,VC,SG,2007,67597,Y,REF_FEED_A,2023-06-05 20:05:10
INV0013362,Aurora Sterling Fund,ANGEL,LU,1958,34040,Y,MANUAL,2023-01-16 02:21:21
INV0021136,Riverside Fortune Partners,ANGEL,FR,1988,2554,Y,MANUAL,2022-08-08 20:54:26
INV0021081,Nexus Coastal Ventures,PE,IE,1960,$1858,Y,REF_FEED_B,24-Feb-2024 11:14:56
INV0006493,Global Stellar Partners,SOVEREIGN_FUND,LU,1968,2608,N,REF_FEED_B,25-Nov-2024 19:48:39
INV0006892,Greenfield Nova Capital Partners,PE,FI,2005,843,Y,REF_FEED_B,2024-01-18 23:17:19
INV0007753,Stellar Ironwood Group,VC,GB,2008,9003,Y,REF_FEED_B,2024-10-25 23:37:05
INV0008615,Riverside Aurora Capital Partners,VC,IE,1966,4034,Y,MANUAL,2022-09-27 08:18:20
INV0006650,Vector Pinehill Fund,PE,CA,1969,"3,117",Y,MANUAL,2024-12-31 07:00:37
INV0002228,Aurora Redwood Partners,VC,DE,2005,2980,Y,REF_FEED_B,06-Jun-2022 00:43:16
INV0012061,Majestic Sigma Holdings,CORP_VENTURE,JP,1990,1937,Y,REF_FEED_B,08-May-2023 11:54:37
INV0019123,Insight Quantum Group,CORP_VENTURE,DK,2013,4971,Y,REF_FEED_A,2024-06-19 06:36:08
