public_company_id,company_name_canonical,isin,ticker,exchange,ticker_exchange_key,country,sector,market_cap_raw,ipo_date_raw,status,source_system
PUB0005787,Just Matrix Medical,,JMM1,SGX,JMM1:SGX,SG,HEALTHCARE,23140,2006-05-30,ACTIVE,LISTINGS_A
PUB0005607,Crystal Right Therapeutics,SGQKBPG9XOE8,CRT,SGX,CRT:SGX,SG,TECH,9100,2002-07-21,ACTIVE,LISTINGS_A
PUB0005605,Cyber Mono Consulting,NLW7PFRZKU4I,CMC1,Euronext,CMC1:Euronext,NL,TECH,$16239,2015-12-26,ACTIVE,LISTINGS_A
PUB0000501,Premier Amber Energy,US2LRU900IRW,PAE,NYSE,PAE:NYSE,US,FINANCE,3410,26-Jul-1993,ACTIVE,LISTINGS_B
PUB0002637,Alpha Uni Labs,NLHSFS98DHDR,AUL,Euronext,AUL:Euronext,NL,FINANCE,16000,2016-09-24,ACTIVE,LISTINGS_A
PUB0005434,Vital Quantum Healthcare,USIUP11LNG9U,VQH,NASDAQ,VQH:NASDAQ,US,CONSUMER,109062,01-Mar-1990,ACTIVE,LISTINGS_B
PUB0002392,Theta Emerald Digital,GBM7FJV7YJGV,TED,LSE,TED:LSE,GB,HEALTHCARE,2357,1991-07-06,ACTIVE,MANUAL
PUB0002020,Helix Vector AI,GBDE91WI7NDV,HVA,LSE,HVA:LSE,GB,REAL_ESTATE,12679,09/27/2011,ACTIVE,MANUAL
PUB0005468,Fair Helix Platforms,US9KGSR08H2A,FHP,NASDAQ,FHP:NASDAQ,US,UTILITIES,14163,1992-08-21,ACTIVE,LISTINGS_B
PUB0002529,Prime Digital Pharma,DE3C5U4MU3KE,PDP,XETRA,PDP:XETRA,DE,TECH,51915,2023-04-11,ACTIVE,LISTINGS_A
PUB0003954,Onyx Omega Technologies,HKSYS8E655VB,OOT,HKEX,OOT:HKEX,HK,TECH,14853,1998-01-15,DELISTED,LISTINGS_B
PUB0005176,Sigma Theta Research,USNOBMA4KIRC,,NYSE,,US,HEALTHCARE,4282,2013-02-21,ACTIVE,LISTINGS_A
PUB0001493,Meta Vital Med,SGHG51VVQ17D,MVM,SGX,MVM:SGX,SG,TECH,12140,15-Feb-1994,ACTIVE,LISTINGS_B
PUB0000461,Jade Aqua Life Sciences,USMWQ7Z1DPV8,JAL,NASDAQ,JAL:NASDAQ,US,CONSUMER,6592,2012-01-18,ACTIVE,LISTINGS_B
PUB0005038,Neural Innovative Insurance,DES11AMRAK5J,NII2,XETRA,NII2:XETRA,DE,HEALTHCARE,11998,2011-07-22,ACTIVE,LISTINGS_A
PUB0005583,Free Research,CHW2SVHSRSB8,FRR,SIX,FRR:SIX,CH,CONSUMER,14651,2001-03-23,ACTIVE,LISTINGS_A
PUB0001704,New Bright Corp,SG3AGPSTB0HA,NBC,SGX,NBC:SGX,SG,CONSUMER,"58,440",25-Jul-2018,DELISTED,LISTINGS_B
PUB0001766,Brave Cyber Research,HKUBDDCO20GL,BCR,HKEX,BCR:HKEX,HK,TECH,118893,2022-12-28,ACTIVE,LISTINGS_B
PUB0000979,Crystal Prime International,LUY5XGMPMUIX,CPI,,,LU,HEALTHCARE,12946,1994-10-29,ACTIVE,LISTINGS_A
PUB0002046,Onyx Agile Insurance,DEYPW6I0GAAO,OAI,XETRA,OAI:XETRA,DE,FINANCE,27187,2001-01-21,ACTIVE,LISTINGS_A
PUB0003343,Lunar Innovative Labs,USOR179PEJ7X,LIL,NASDAQ,LIL:NASDAQ,US,HEALTHCARE,24428,2001-02-09,ACTIVE,LISTINGS_A
PUB0004294,Vertex Innovative Advisory,DEB3B126H2T9,VIA,XETRA,VIA:XETRA,DE,TECH,441519,1995-05-28,ACTIVE,LISTINGS_B
PUB0002636,Bold Lunar Services,USHTXKIV0RA0,BLS,NYSE,BLS:NYSE,US,TECH,80958,2015-01-05,ACTIVE,LISTINGS_A
